state,county,zipcode,county_name,mean_household_income2000,mean_commutetime,num_degrees_2000,num_degrees_2010,foreign_residents2010,mean_household_income1990,mean_household_income2016,poverty2010,poverty2000,poverty1990,share_white2010,share_black2010,share_hisp2010,share_asian2010,share_black2000,share_white2000,share_hisp2000,share_asian2000,mean_3rdgrade_math_2013,mediangross_rent2015,numsingleparent_households2010,numsingleparent_households1990,numsingleparent_households2000,lessthan15commute_2010,employmentrate_2000,mail_return_rate2010,wage_growth_highschoolers,popdensity2010,popdensity2000,avg_job_growth_2004_13,job_density_2013
37,67,401,Winston-Salem,80788.719,22.403002,0.28009894,0.30625629,0.088334657,32929.69239,51025.0643,0.15568399,0.10745753,0.096561097,0.5872587,0.26485869,0.1191291,0.015609785,0.24345958,0.67392558,0.063425779,0.009437365,3.5147295,727.06824,0.37660408,0.25205928,0.32340801,0.31939802,0.63386452,79.809242,-0.005471136,859.17151,749.89148,0.004437913,401.98065
37,69,1701,Raleigh,67995.898,35.653008,0.13888277,0.15386114,0.043361355,26486.9301,45184.53374,0.14732976,0.12051395,0.12864576,0.6347515,0.27166399,0.078787178,0.003773107,0.27854145,0.66548097,0.043888472,0.002546935,2.9828007,654.13025,0.28570998,0.22847475,0.26755682,0.17133109,0.63755822,82.11409,0.069775619,123.28903,96.119034,0.006764205,52.686493
37,71,800,Gastonia,71345.734,25.755632,0.14268126,0.17979321,0.046856489,29469.14778,46534.65829,0.16587661,0.10561891,0.099896751,0.75846976,0.15897247,0.059203438,0.008468811,0.13040309,0.8224197,0.02935585,0.007021162,3.1624961,696.63556,0.34473938,0.21681975,0.29503456,0.23612364,0.61976373,81.678955,0.047371272,578.85425,535.02917,0.002202035,257.78317
37,73,2000,Virginia Beach,61620.941,37.664284,0.10461904,0.10469796,0.005877608,23383.35845,54140.21595,0.20373712,0.17125405,0.15653197,0.62999099,0.34188735,0.014183816,0.001229811,0.39707258,0.58231008,0.007643444,0.001764662,3.8710454,636.17749,0.37467507,0.18744251,0.26518723,0.18389124,0.53955799,83.468834,0.10957763,35.826637,30.888983,0.004746995,14.360617
37,75,1202,Sylva,48863.457,25.631723,0.11325416,0.13052396,0.020661341,16927.85574,35963.68446,0.19591019,0.19344385,0.24946357,0.89628708,0.003385622,0.021893691,0.00304706,0.002640554,0.9161877,0.007428299,0.001608046,3.4884655,582.65442,0.26199126,0.15612555,0.19524635,0.54226679,0.51067108,82.271896,,30.337683,27.365885,-0.018674303,10.202719
37,77,1701,Raleigh,70721.883,28.774567,0.13354847,0.13456209,0.053449899,27587.4244,50726.71205,0.11701249,0.11019987,0.11972463,0.57664061,0.33333334,0.074804723,0.004378947,0.33451912,0.61260617,0.038451094,0.002759234,3.0117631,755.98621,0.3318629,0.23383799,0.29439843,0.21964025,0.56423163,82.390045,0.12700029,112.71516,91.233147,0.018806268,49.656677
37,79,1900,Jacksonville,55779.117,26.979874,0.081288852,0.09116181,0.073839314,22874.56867,37914.74515,0.19070992,0.20236836,0.19215924,0.46989983,0.37599474,0.14296414,0.002246981,0.41333643,0.50118864,0.079737343,0.000788453,2.0607674,578.22162,0.32396069,0.25125366,0.33140898,0.24665783,0.53466773,80.847153,0.04891789,80.330017,71.350143,0.003747772,32.599049
37,81,500,Greensboro,83486.602,22.838041,0.30066076,0.31667286,0.09155561,33261.76739,52347.54663,0.16373233,0.10261107,0.091993295,0.5430482,0.33334768,0.071305431,0.027611844,0.27993935,0.64860183,0.035973813,0.017687764,3.5247116,768.14648,0.37602401,0.23018676,0.31516623,0.30557406,0.66287619,79.873566,0.053709541,761.65509,656.60663,0.00450866,362.75684
37,83,2600,Roanoke Rapids,51308.637,25.124914,0.11003852,0.1127355,0.019648263,19077.21307,33072.86702,0.2371356,0.23746137,0.25160316,0.39437932,0.53719991,0.021063795,0.006308168,0.52222645,0.42708734,0.009998222,0.005262456,2.4080949,623.08514,0.42610735,0.34289658,0.42651752,0.38147238,0.47814548,81.742599,,75.531189,79.231026,-0.013212907,26.509319
37,85,1701,Raleigh,63327.441,31.056543,0.12963805,0.16724463,0.0703822,22239.72862,48482.0992,0.1670078,0.14444999,0.16895203,0.64273012,0.21963236,0.10777132,0.007635158,0.22239515,0.69483602,0.058781482,0.005510495,3.035027,671.7132,0.34559226,0.23745497,0.29488635,0.23927981,0.56882221,79.217957,0.047101736,192.74034,153.17029,0.008149584,75.774765
